PDBCode	Description	Organism	Ligand Names	LigandIds	No.of Ligands	ChainNames	No of Chains	Ligand Dictionary	Chain Dictionary	Chain Lengths
3kum	Dipeptide Epimerase	Enterococcus faecalis	['ARGININE', 'TYROSINE', 'MAGNESIUM ION', 'water']	['ARG', 'TYR', 'MG', 'HOH']	4	A,B,C,D,E,F,G,H	8	{'MG': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1, 'G': 1, 'F': 1, 'H': 1}, 'HOH': {'A': 110, 'C': 80, 'B': 138, 'E': 86, 'D': 63, 'G': 104, 'F': 71, 'H': 124}, 'TYR': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1, 'G': 1, 'F': 1, 'H': 1}, 'ARG': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1, 'G': 1, 'F': 1, 'H': 1}}	{'A': {'MG': 1, 'HOH': 110, 'TYR': 1, 'ARG': 1}, 'C': {'MG': 1, 'HOH': 80, 'TYR': 1, 'ARG': 1}, 'B': {'MG': 1, 'HOH': 138, 'TYR': 1, 'ARG': 1}, 'E': {'MG': 1, 'HOH': 86, 'TYR': 1, 'ARG': 1}, 'D': {'MG': 1, 'HOH': 63, 'TYR': 1, 'ARG': 1}, 'G': {'MG': 1, 'HOH': 104, 'TYR': 1, 'ARG': 1}, 'F': {'MG': 1, 'HOH': 71, 'TYR': 1, 'ARG': 1}, 'H': {'MG': 1, 'HOH': 124, 'TYR': 1, 'ARG': 1}}	{'A': 354, 'C': 354, 'B': 354, 'E': 354, 'D': 354, 'G': 354, 'F': 354, 'H': 354}
3MWC	Mandelate racemase/muconate lactonizing protein	Kosmotoga olearia	['MAGNESIUM ION', 'PHOSPHATE ION', 'water']	['MG', 'PO4', 'HOH']	3	A	1	{'MG': {'A': 1}, 'PO4': {'A': 1}, 'HOH': {'A': 170}}	{'A': {'MG': 1, 'PO4': 1, 'HOH': 170}}	{'A': 400}
3MZN	Glucarate dehydratase	Chromohalobacter salexigens	['SULFATE ION', 'GLYCEROL', 'ACETATE ION', 'water']	['SO4', 'GOL', 'ACT', 'HOH']	4	A,B	2	{'GOL': {'A': 2, 'B': 3}, 'SO4': {'A': 2, 'B': 1}, 'HOH': {'A': 324, 'B': 335}, 'ACT': {'A': 2, 'B': 1}}	{'A': {'GOL': 2, 'SO4': 2, 'HOH': 324, 'ACT': 2}, 'B': {'GOL': 3, 'SO4': 1, 'HOH': 335, 'ACT': 1}}	{'A': 450, 'B': 450}
3NFU	Glucarate dehydratase	Chromohalobacter salexigens	['SULFATE ION', 'MAGNESIUM ION', 'GLYCEROL', 'water']	['SO4', 'MG', 'GOL', 'HOH']	4	A,B	2	{'GOL': {'A': 1, 'B': 0}, 'MG': {'A': 1, 'B': 1}, 'SO4': {'A': 2, 'B': 2}, 'HOH': {'A': 205, 'B': 270}}	{'A': {'GOL': 1, 'MG': 1, 'SO4': 2, 'HOH': 205}, 'B': {'GOL': 0, 'MG': 1, 'SO4': 2, 'HOH': 270}}	{'A': 450, 'B': 450}
3NXL	Glucarate dehydratase	Burkholderia sp. 383	['MAGNESIUM ION', 'CARBONATE ION', 'water']	['MG', 'CO3', 'HOH']	3	A,B,C,D	4	{'MG': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'CO3': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'HOH': {'A': 254, 'C': 207, 'B': 190, 'D': 229}}	{'A': {'MG': 1, 'CO3': 1, 'HOH': 254}, 'C': {'MG': 1, 'CO3': 1, 'HOH': 207}, 'B': {'MG': 1, 'CO3': 1, 'HOH': 190}, 'D': {'MG': 1, 'CO3': 1, 'HOH': 229}}	{'A': 475, 'C': 475, 'B': 475, 'D': 475}
3otr	Enolase	Toxoplasma gondii	['CHLORIDE ION', 'SULFATE ION', 'water']	['CL', 'SO4', 'HOH']	3	A,B,C,D,E,F	6	{'SO4': {'A': 0, 'C': 0, 'B': 0, 'E': 0, 'D': 0, 'F': 1}, 'HOH': {'A': 119, 'C': 116, 'B': 99, 'E': 86, 'D': 93, 'F': 65}, 'CL': {'A': 0, 'C': 0, 'B': 0, 'E': 1, 'D': 0, 'F': 0}}	{'A': {'SO4': 0, 'HOH': 119, 'CL': 0}, 'C': {'SO4': 0, 'HOH': 116, 'CL': 0}, 'B': {'SO4': 0, 'HOH': 99, 'CL': 0}, 'E': {'SO4': 0, 'HOH': 86, 'CL': 1}, 'D': {'SO4': 0, 'HOH': 93, 'CL': 0}, 'F': {'SO4': 1, 'HOH': 65, 'CL': 0}}	{'A': 452, 'C': 452, 'B': 452, 'E': 452, 'D': 452, 'F': 452}
3P0W	Mandelate racemase/muconate lactonizing protein	Ralstonia pickettii	['MAGNESIUM ION', 'D-GLUCARATE', 'water']	['MG', 'GKR', 'HOH']	3	A,B,C,D	4	{'MG': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'GKR': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'HOH': {'A': 51, 'C': 42, 'B': 99, 'D': 38}}	{'A': {'MG': 1, 'GKR': 1, 'HOH': 51}, 'C': {'MG': 1, 'GKR': 1, 'HOH': 42}, 'B': {'MG': 1, 'GKR': 1, 'HOH': 99}, 'D': {'MG': 1, 'GKR': 1, 'HOH': 38}}	{'A': 470, 'C': 470, 'B': 470, 'D': 470}
3pwg	Glucarate dehydratase	Escherichia coli	['MAGNESIUM ION', '2,3-DIHYDROXY-5-OXO-HEXANEDIOATE', 'GLYCEROL', 'water']	['MG', 'GLR', 'GOL', 'HOH']	4	A,B,C,D	4	{'GOL': {'A': 1, 'C': 0, 'B': 1, 'D': 1}, 'MG': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'GLR': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'HOH': {'A': 56, 'C': 28, 'B': 67, 'D': 17}}	{'A': {'GOL': 1, 'MG': 1, 'GLR': 1, 'HOH': 56}, 'C': {'GOL': 0, 'MG': 1, 'GLR': 1, 'HOH': 28}, 'B': {'GOL': 1, 'MG': 1, 'GLR': 1, 'HOH': 67}, 'D': {'GOL': 1, 'MG': 1, 'GLR': 1, 'HOH': 17}}	{'A': 446, 'C': 446, 'B': 446, 'D': 446}
3pwi	Glucarate dehydratase	Escherichia coli	['MAGNESIUM ION', '2,3-DIHYDROXY-5-OXO-HEXANEDIOATE', 'GLYCEROL', 'water']	['MG', 'GLR', 'GOL', 'HOH']	4	A,B	2	{'GOL': {'A': 1, 'B': 1}, 'MG': {'A': 1, 'B': 1}, 'GLR': {'A': 1, 'B': 1}, 'HOH': {'A': 53, 'B': 99}}	{'A': {'GOL': 1, 'MG': 1, 'GLR': 1, 'HOH': 53}, 'B': {'GOL': 1, 'MG': 1, 'GLR': 1, 'HOH': 99}}	{'A': 446, 'B': 446}
3q4d	Mandelate racemase/muconate lactonizing enzyme family; possible chloromuconate cycloisomerase	Cytophaga hutchinsonii	['MAGNESIUM ION', 'D-ALANINE', 'ALANINE', 'water']	['MG', 'DAL', 'ALA', 'HOH']	4	A,B,C,D,E,F,G,H,I	9	{'DAL': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1, 'G': 1, 'F': 1, 'I': 1, 'H': 1}, 'MG': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1, 'G': 1, 'F': 1, 'I': 1, 'H': 1}, 'HOH': {'A': 39, 'C': 21, 'B': 26, 'E': 7, 'D': 9, 'G': 9, 'F': 10, 'I': 6, 'H': 4}, 'ALA': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1, 'G': 1, 'F': 1, 'I': 1, 'H': 1}}	{'A': {'DAL': 1, 'MG': 1, 'HOH': 39, 'ALA': 1}, 'C': {'DAL': 1, 'MG': 1, 'HOH': 21, 'ALA': 1}, 'B': {'DAL': 1, 'MG': 1, 'HOH': 26, 'ALA': 1}, 'E': {'DAL': 1, 'MG': 1, 'HOH': 7, 'ALA': 1}, 'D': {'DAL': 1, 'MG': 1, 'HOH': 9, 'ALA': 1}, 'G': {'DAL': 1, 'MG': 1, 'HOH': 9, 'ALA': 1}, 'F': {'DAL': 1, 'MG': 1, 'HOH': 10, 'ALA': 1}, 'I': {'DAL': 1, 'MG': 1, 'HOH': 6, 'ALA': 1}, 'H': {'DAL': 1, 'MG': 1, 'HOH': 4, 'ALA': 1}}	{'A': 368, 'C': 368, 'B': 368, 'E': 368, 'D': 368, 'G': 368, 'F': 368, 'I': 368, 'H': 368}
3q45	Mandelate racemase/muconate lactonizing enzyme family; possible chloromuconate cycloisomerase	Cytophaga hutchinsonii	['MAGNESIUM ION', 'D-ALANINE', 'VALINE', 'water']	['MG', 'DAL', 'VAL', 'HOH']	4	A,B,C,D,E,F,G,H,I	9	{'DAL': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1, 'G': 1, 'F': 1, 'I': 1, 'H': 1}, 'MG': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1, 'G': 1, 'F': 1, 'I': 1, 'H': 1}, 'HOH': {'A': 28, 'C': 18, 'B': 28, 'E': 6, 'D': 6, 'G': 11, 'F': 3, 'I': 1, 'H': 2}, 'VAL': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1, 'G': 1, 'F': 1, 'I': 1, 'H': 1}}	{'A': {'DAL': 1, 'MG': 1, 'HOH': 28, 'VAL': 1}, 'C': {'DAL': 1, 'MG': 1, 'HOH': 18, 'VAL': 1}, 'B': {'DAL': 1, 'MG': 1, 'HOH': 28, 'VAL': 1}, 'E': {'DAL': 1, 'MG': 1, 'HOH': 6, 'VAL': 1}, 'D': {'DAL': 1, 'MG': 1, 'HOH': 6, 'VAL': 1}, 'G': {'DAL': 1, 'MG': 1, 'HOH': 11, 'VAL': 1}, 'F': {'DAL': 1, 'MG': 1, 'HOH': 3, 'VAL': 1}, 'I': {'DAL': 1, 'MG': 1, 'HOH': 1, 'VAL': 1}, 'H': {'DAL': 1, 'MG': 1, 'HOH': 2, 'VAL': 1}}	{'A': 368, 'C': 368, 'B': 368, 'E': 368, 'D': 368, 'G': 368, 'F': 368, 'I': 368, 'H': 368}
3qld	Mandelate racemase/muconate lactonizing protein	Alicyclobacillus acidocaldarius LAA1	['SULFATE ION', 'water']	['SO4', 'HOH']	2	A,B	2	{'SO4': {'A': 4, 'B': 1}, 'HOH': {'A': 88, 'B': 147}}	{'A': {'SO4': 4, 'HOH': 88}, 'B': {'SO4': 1, 'HOH': 147}}	{'A': 388, 'B': 388}
3QN3	Enolase	Campylobacter jejuni	['MAGNESIUM ION', '(4S)-2-METHYL-2,4-PENTANEDIOL', 'GLYCEROL', 'SULFATE ION', 'water']	['MG', 'MPD', 'GOL', 'SO4', 'HOH']	5	A,B,C,D	4	{'GOL': {'A': 1, 'C': 2, 'B': 0, 'D': 0}, 'MG': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'MPD': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'HOH': {'A': 193, 'C': 209, 'B': 178, 'D': 195}, 'SO4': {'A': 0, 'C': 1, 'B': 1, 'D': 1}}	{'A': {'GOL': 1, 'MG': 1, 'MPD': 1, 'HOH': 193, 'SO4': 0}, 'C': {'GOL': 2, 'MG': 1, 'MPD': 1, 'HOH': 209, 'SO4': 1}, 'B': {'GOL': 0, 'MG': 1, 'MPD': 1, 'HOH': 178, 'SO4': 1}, 'D': {'GOL': 0, 'MG': 1, 'MPD': 1, 'HOH': 195, 'SO4': 1}}	{'A': 417, 'C': 417, 'B': 417, 'D': 417}
3qtp	Enolase 1	Entamoeba histolytica	['2-PHOSPHOGLYCERIC ACID', 'SULFATE ION', 'MAGNESIUM ION', 'water']	['2PG', 'SO4', 'MG', 'HOH']	4	A,B	2	{'HOH': {'A': 592, 'B': 526}, 'MG': {'A': 1, 'B': 1}, 'SO4': {'A': 3, 'B': 3}, '2PG': {'A': 1, 'B': 1}}	{'A': {'HOH': 592, 'MG': 1, 'SO4': 3, '2PG': 1}, 'B': {'HOH': 526, 'MG': 1, 'SO4': 3, '2PG': 1}}	{'A': 441, 'B': 441}
3r0k	Enzyme of enolase superfamily	Francisella philomiragia	['SULFATE ION', 'D(-)-TARTARIC ACID', 'GLYCEROL', 'water']	['SO4', 'TAR', 'GOL', 'HOH']	4	A,B	2	{'HOH': {'A': 206, 'B': 353}, 'GOL': {'A': 1, 'B': 3}, 'SO4': {'A': 1, 'B': 4}, 'TAR': {'A': 1, 'B': 0}}	{'A': {'HOH': 206, 'GOL': 1, 'SO4': 1, 'TAR': 1}, 'B': {'HOH': 353, 'GOL': 3, 'SO4': 4, 'TAR': 0}}	{'A': 379, 'B': 379}
3r0u	Enzyme of enolase superfamily	Francisella philomiragia subsp. philomiragia	['MAGNESIUM ION', 'SULFATE ION', 'D(-)-TARTARIC ACID', 'GLYCEROL', 'water']	['MG', 'SO4', 'TAR', 'GOL', 'HOH']	5	A,B	2	{'HOH': {'A': 256, 'B': 367}, 'GOL': {'A': 1, 'B': 2}, 'MG': {'A': 2, 'B': 0}, 'SO4': {'A': 3, 'B': 4}, 'TAR': {'A': 1, 'B': 0}}	{'A': {'HOH': 256, 'GOL': 1, 'MG': 2, 'SO4': 3, 'TAR': 1}, 'B': {'HOH': 367, 'GOL': 2, 'MG': 0, 'SO4': 4, 'TAR': 0}}	{'A': 379, 'B': 379}
3r1z	Enzyme of enolase superfamily	Francisella philomiragia subsp. philomiragia	['ALANINE', 'GLUTAMIC ACID', 'SULFATE ION', 'GLYCEROL', 'D-GLUTAMIC ACID', 'water']	['ALA', 'GLU', 'SO4', 'GOL', 'DGL', 'HOH']	6	A,B	2	{'GOL': {'A': 2, 'B': 2}, 'DGL': {'A': 0, 'B': 1}, 'HOH': {'A': 289, 'B': 419}, 'ALA': {'A': 1, 'B': 1}, 'SO4': {'A': 2, 'B': 4}, 'GLU': {'A': 1, 'B': 0}}	{'A': {'GOL': 2, 'DGL': 0, 'HOH': 289, 'ALA': 1, 'SO4': 2, 'GLU': 1}, 'B': {'GOL': 2, 'DGL': 1, 'HOH': 419, 'ALA': 1, 'SO4': 4, 'GLU': 0}}	{'A': 379, 'B': 379}
3r10	Enzyme of enolase superfamily	Francisella philomiragia subsp. philomiragia	['SULFATE ION', 'MAGNESIUM ION', 'GLYCEROL', 'water']	['SO4', 'MG', 'GOL', 'HOH']	4	A,B	2	{'GOL': {'A': 2, 'B': 4}, 'MG': {'A': 1, 'B': 0}, 'SO4': {'A': 4, 'B': 4}, 'HOH': {'A': 254, 'B': 324}}	{'A': {'GOL': 2, 'MG': 1, 'SO4': 4, 'HOH': 254}, 'B': {'GOL': 4, 'MG': 0, 'SO4': 4, 'HOH': 324}}	{'A': 379, 'B': 379}
3r11	Enzyme of enolase superfamily	Francisella philomiragia subsp. philomiragia	['SULFATE ION', 'MAGNESIUM ION', 'GLYCEROL', 'FUMARIC ACID', 'water']	['SO4', 'MG', 'GOL', 'FUM', 'HOH']	5	A,B	2	{'GOL': {'A': 1, 'B': 1}, 'MG': {'A': 1, 'B': 0}, 'FUM': {'A': 0, 'B': 1}, 'SO4': {'A': 2, 'B': 4}, 'HOH': {'A': 313, 'B': 395}}	{'A': {'GOL': 1, 'MG': 1, 'FUM': 0, 'SO4': 2, 'HOH': 313}, 'B': {'GOL': 1, 'MG': 0, 'FUM': 1, 'SO4': 4, 'HOH': 395}}	{'A': 379, 'B': 379}
3rit	Dipeptide epimerase	Methylococcus capsulatus	['SULFATE ION', 'ARGININE', 'D-LYSINE', 'MAGNESIUM ION', 'PENTAETHYLENE GLYCOL', 'water']	['SO4', 'ARG', 'DLY', 'MG', '1PE', 'HOH']	6	A,B,C,D,E	5	{'MG': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1}, 'HOH': {'A': 156, 'C': 116, 'B': 144, 'E': 50, 'D': 89}, '1PE': {'A': 1, 'C': 1, 'B': 0, 'E': 1, 'D': 1}, 'SO4': {'A': 6, 'C': 4, 'B': 4, 'E': 5, 'D': 6}, 'ARG': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1}, 'DLY': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1}}	{'A': {'MG': 1, 'HOH': 156, '1PE': 1, 'SO4': 6, 'ARG': 1, 'DLY': 1}, 'C': {'MG': 1, 'HOH': 116, '1PE': 1, 'SO4': 4, 'ARG': 1, 'DLY': 1}, 'B': {'MG': 1, 'HOH': 144, '1PE': 0, 'SO4': 4, 'ARG': 1, 'DLY': 1}, 'E': {'MG': 1, 'HOH': 50, '1PE': 1, 'SO4': 5, 'ARG': 1, 'DLY': 1}, 'D': {'MG': 1, 'HOH': 89, '1PE': 1, 'SO4': 6, 'ARG': 1, 'DLY': 1}}	{'A': 356, 'C': 356, 'B': 356, 'E': 356, 'D': 356}
3ro6	Putative chloromuconate cycloisomerase	Methylococcus capsulatus	['MAGNESIUM ION', 'SULFATE ION', 'GLYCEROL', 'water']	['MG', 'SO4', 'GOL', 'HOH']	4	B,A,C,D,E,F	6	{'GOL': {'A': 0, 'C': 0, 'B': 1, 'E': 0, 'D': 1, 'F': 0}, 'MG': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1, 'F': 1}, 'SO4': {'A': 3, 'C': 2, 'B': 2, 'E': 2, 'D': 2, 'F': 2}, 'HOH': {'A': 95, 'C': 92, 'B': 101, 'E': 85, 'D': 86, 'F': 75}}	{'A': {'GOL': 0, 'MG': 1, 'SO4': 3, 'HOH': 95}, 'C': {'GOL': 0, 'MG': 1, 'SO4': 2, 'HOH': 92}, 'B': {'GOL': 1, 'MG': 1, 'SO4': 2, 'HOH': 101}, 'E': {'GOL': 0, 'MG': 1, 'SO4': 2, 'HOH': 85}, 'D': {'GOL': 1, 'MG': 1, 'SO4': 2, 'HOH': 86}, 'F': {'GOL': 0, 'MG': 1, 'SO4': 2, 'HOH': 75}}	{'A': 356, 'C': 356, 'B': 356, 'E': 356, 'D': 356, 'F': 356}
3RR1	Putative D-galactonate dehydratase	Ralstonia pickettii	['CHLORIDE ION', 'MALATE ION', 'water']	['CL', 'MLT', 'HOH']	3	A,B	2	{'HOH': {'A': 108, 'B': 147}, 'MLT': {'A': 0, 'B': 1}, 'CL': {'A': 1, 'B': 1}}	{'A': {'HOH': 108, 'MLT': 0, 'CL': 1}, 'B': {'HOH': 147, 'MLT': 1, 'CL': 1}}	{'A': 405, 'B': 405}
3RRA	Putative D-galactonate dehydratase	Ralstonia pickettii	['CHLORIDE ION', 'MAGNESIUM ION', 'water']	['CL', 'MG', 'HOH']	3	A,B	2	{'MG': {'A': 1, 'B': 1}, 'HOH': {'A': 57, 'B': 79}, 'CL': {'A': 1, 'B': 1}}	{'A': {'MG': 1, 'HOH': 57, 'CL': 1}, 'B': {'MG': 1, 'HOH': 79, 'CL': 1}}	{'A': 405, 'B': 405}
3s5s	Mandelate racemase/muconate lactonizing enzyme family protein	Sorangium cellulosum	['SULFATE ION', 'water']	['SO4', 'HOH']	2	A,B	2	{'SO4': {'A': 2, 'B': 2}, 'HOH': {'A': 28, 'B': 38}}	{'A': {'SO4': 2, 'HOH': 28}, 'B': {'SO4': 2, 'HOH': 38}}	{'A': 389, 'B': 389}
3sqs	mandelate racemase/muconate lactonizing protein	Dinoroseobacter shibae	['MAGNESIUM ION', 'GLYCEROL', 'ACETATE ION', 'water']	['MG', 'GOL', 'ACT', 'HOH']	4	A	1	{'GOL': {'A': 1}, 'MG': {'A': 2}, 'HOH': {'A': 306}, 'ACT': {'A': 1}}	{'A': {'GOL': 1, 'MG': 2, 'HOH': 306, 'ACT': 1}}	{'A': 413}
3ssz	Mandelate racemase/muconate lactonizing enzyme, N-terminal domain protein	Rhodobacteraceae bacterium KLH11	['SULFATE ION', 'water']	['SO4', 'HOH']	2	A	1	{'SO4': {'A': 1}, 'HOH': {'A': 104}}	{'A': {'SO4': 1, 'HOH': 104}}	{'A': 413}
3stp	Galactonate dehydratase, putative	Labrenzia aggregata IAM 12614	['MAGNESIUM ION', 'water']	['MG', 'HOH']	2	A	1	{'MG': {'A': 1}, 'HOH': {'A': 238}}	{'A': {'MG': 1, 'HOH': 238}}	{'A': 412}
3thu	Mandelate racemase / muconate lactonizing enzyme family protein	Sphingomonas sp. SKA58	['MAGNESIUM ION', 'CHLORIDE ION', 'GLYCEROL', 'UNKNOWN ATOM OR ION', 'water']	['MG', 'CL', 'GOL', 'UNX', 'HOH']	5	A,B,C	3	{'UNX': {'A': 2, 'C': 2, 'B': 2}, 'GOL': {'A': 2, 'C': 3, 'B': 3}, 'MG': {'A': 1, 'C': 1, 'B': 1}, 'HOH': {'A': 390, 'C': 370, 'B': 382}, 'CL': {'A': 1, 'C': 0, 'B': 1}}	{'A': {'UNX': 2, 'GOL': 2, 'MG': 1, 'HOH': 390, 'CL': 1}, 'C': {'UNX': 2, 'GOL': 3, 'MG': 1, 'HOH': 370, 'CL': 0}, 'B': {'UNX': 2, 'GOL': 3, 'MG': 1, 'HOH': 382, 'CL': 1}}	{'A': 426, 'C': 426, 'B': 426}
3tqp	Enolase	Coxiella burnetii	['PHOSPHATE ION', 'MAGNESIUM ION', 'water']	['PO4', 'MG', 'HOH']	3	A,B	2	{'PO4': {'A': 1, 'B': 1}, 'MG': {'A': 1, 'B': 1}, 'HOH': {'A': 128, 'B': 70}}	{'A': {'PO4': 1, 'MG': 1, 'HOH': 128}, 'B': {'PO4': 1, 'MG': 1, 'HOH': 70}}	{'A': 428, 'B': 428}
3u9i	Mandelate racemase/muconate lactonizing enzyme, C-terminal domain protein	Roseiflexus sp. RS-1	['SULFATE ION', 'water']	['SO4', 'HOH']	2	A,B	2	{'SO4': {'A': 1, 'B': 1}, 'HOH': {'A': 29, 'B': 38}}	{'A': {'SO4': 1, 'HOH': 29}, 'B': {'SO4': 1, 'HOH': 38}}	{'A': 393, 'B': 393}
3ucc	Gamma-enolase	Homo sapiens	['MAGNESIUM ION', '2-PHOSPHOGLYCERIC ACID', '2-AMINO-2-HYDROXYMETHYL-PROPANE-1,3-DIOL', 'water']	['MG', '2PG', 'TRS', 'HOH']	4	A,B	2	{'HOH': {'A': 309, 'B': 292}, 'MG': {'A': 2, 'B': 2}, 'TRS': {'A': 1, 'B': 0}, '2PG': {'A': 1, 'B': 1}}	{'A': {'HOH': 309, 'MG': 2, 'TRS': 1, '2PG': 1}, 'B': {'HOH': 292, 'MG': 2, 'TRS': 0, '2PG': 1}}	{'A': 439, 'B': 439}
3ucd	Gamma-enolase	Homo sapiens	['MAGNESIUM ION', '2-PHOSPHOGLYCERIC ACID', 'PHOSPHOENOLPYRUVATE', 'water']	['MG', '2PG', 'PEP', 'HOH']	4	A,B	2	{'MG': {'A': 2, 'B': 2}, 'PEP': {'A': 0, 'B': 1}, 'HOH': {'A': 170, 'B': 160}, '2PG': {'A': 1, 'B': 0}}	{'A': {'MG': 2, 'PEP': 0, 'HOH': 170, '2PG': 1}, 'B': {'MG': 2, 'PEP': 1, 'HOH': 160, '2PG': 0}}	{'A': 439, 'B': 439}
3uj2	Enolase 1	Anaerostipes caccae	['SULFATE ION', 'MAGNESIUM ION', 'water']	['SO4', 'MG', 'HOH']	3	A,B,C,D,E,F,G,H	8	{'MG': {'A': 1, 'C': 1, 'B': 1, 'E': 1, 'D': 1, 'G': 1, 'F': 1, 'H': 1}, 'SO4': {'A': 3, 'C': 3, 'B': 3, 'E': 2, 'D': 2, 'G': 3, 'F': 2, 'H': 2}, 'HOH': {'A': 264, 'C': 225, 'B': 252, 'E': 183, 'D': 162, 'G': 176, 'F': 208, 'H': 146}}	{'A': {'MG': 1, 'SO4': 3, 'HOH': 264}, 'C': {'MG': 1, 'SO4': 3, 'HOH': 225}, 'B': {'MG': 1, 'SO4': 3, 'HOH': 252}, 'E': {'MG': 1, 'SO4': 2, 'HOH': 183}, 'D': {'MG': 1, 'SO4': 2, 'HOH': 162}, 'G': {'MG': 1, 'SO4': 3, 'HOH': 176}, 'F': {'MG': 1, 'SO4': 2, 'HOH': 208}, 'H': {'MG': 1, 'SO4': 2, 'HOH': 146}}	{'A': 449, 'C': 449, 'B': 449, 'E': 449, 'D': 449, 'G': 449, 'F': 449, 'H': 449}
3uje	Gamma-enolase	Homo sapiens	['MAGNESIUM ION', '2-PHOSPHOGLYCERIC ACID', '2-AMINO-2-HYDROXYMETHYL-PROPANE-1,3-DIOL', 'PHOSPHOENOLPYRUVATE', 'water']	['MG', '2PG', 'TRS', 'PEP', 'HOH']	5	A,B	2	{'HOH': {'A': 299, 'B': 293}, 'MG': {'A': 2, 'B': 2}, 'PEP': {'A': 0, 'B': 1}, 'TRS': {'A': 1, 'B': 0}, '2PG': {'A': 1, 'B': 0}}	{'A': {'HOH': 299, 'MG': 2, 'PEP': 0, 'TRS': 1, '2PG': 1}, 'B': {'HOH': 293, 'MG': 2, 'PEP': 1, 'TRS': 0, '2PG': 0}}	{'A': 443, 'B': 443}
3ujf	Gamma-enolase	Homo sapiens	['MAGNESIUM ION', '2-PHOSPHOGLYCERIC ACID', 'PHOSPHOENOLPYRUVATE', 'water']	['MG', '2PG', 'PEP', 'HOH']	4	A,B	2	{'MG': {'A': 2, 'B': 2}, 'PEP': {'A': 0, 'B': 1}, 'HOH': {'A': 88, 'B': 102}, '2PG': {'A': 1, 'B': 0}}	{'A': {'MG': 2, 'PEP': 0, 'HOH': 88, '2PG': 1}, 'B': {'MG': 2, 'PEP': 1, 'HOH': 102, '2PG': 0}}	{'A': 443, 'B': 443}
3ujr	Gamma-enolase	Homo sapiens	['MAGNESIUM ION', '2-PHOSPHOGLYCERIC ACID', '2-AMINO-2-HYDROXYMETHYL-PROPANE-1,3-DIOL', 'PHOSPHOENOLPYRUVATE', 'water']	['MG', '2PG', 'TRS', 'PEP', 'HOH']	5	A,B	2	{'HOH': {'A': 316, 'B': 278}, 'MG': {'A': 2, 'B': 2}, 'PEP': {'A': 0, 'B': 1}, 'TRS': {'A': 1, 'B': 0}, '2PG': {'A': 1, 'B': 0}}	{'A': {'HOH': 316, 'MG': 2, 'PEP': 0, 'TRS': 1, '2PG': 1}, 'B': {'HOH': 278, 'MG': 2, 'PEP': 1, 'TRS': 0, '2PG': 0}}	{'A': 443, 'B': 443}
3ujs	Gamma-enolase	Homo sapiens	['MAGNESIUM ION', '(2R)-3-OXO-2-(PHOSPHONOOXY)PROPANOIC ACID', '2-AMINO-2-HYDROXYMETHYL-PROPANE-1,3-DIOL', '(2R)-2-(PHOSPHONOOXY)PROPANOIC ACID', 'water']	['MG', 'XSP', 'TRS', '0V5', 'HOH']	5	A,B	2	{'TRS': {'A': 1, 'B': 0}, 'MG': {'A': 2, 'B': 2}, '0V5': {'A': 0, 'B': 1}, 'XSP': {'A': 1, 'B': 0}, 'HOH': {'A': 381, 'B': 425}}	{'A': {'TRS': 1, 'MG': 2, '0V5': 0, 'XSP': 1, 'HOH': 381}, 'B': {'TRS': 0, 'MG': 2, '0V5': 1, 'XSP': 0, 'HOH': 425}}	{'A': 443, 'B': 443}
3uxk	Mandelate racemase	Pseudomonas putida	['MAGNESIUM ION', 'BENZHYDROXAMIC ACID', 'water']	['MG', 'BHO', 'HOH']	3	A,B,C,D	4	{'MG': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'HOH': {'A': 209, 'C': 161, 'B': 169, 'D': 210}, 'BHO': {'A': 1, 'C': 1, 'B': 1, 'D': 1}}	{'A': {'MG': 1, 'HOH': 209, 'BHO': 1}, 'C': {'MG': 1, 'HOH': 161, 'BHO': 1}, 'B': {'MG': 1, 'HOH': 169, 'BHO': 1}, 'D': {'MG': 1, 'HOH': 210, 'BHO': 1}}	{'A': 383, 'C': 383, 'B': 383, 'D': 383}
